REGION_ID,REGION_CD,REGION_NAME,create_date,update_date
1,Chicago,Chicago,2024-11-28 18:29:47,2024-11-28 18:29:47
2,Minneapolis,Minneapolis,2024-11-28 18:29:47,2024-11-28 18:29:47
3,Atlanta,Atlanta,2024-11-28 18:29:47,2024-11-28 18:29:47
4,Minneapolis,Minneapolis,2024-11-28 18:29:47,2024-11-28 18:29:47
5,Boston,Boston,2024-11-28 18:29:47,2024-11-28 18:29:47
6,Kansas City,Kansas City,2024-11-28 18:29:47,2024-11-28 18:29:47
7,Dallas,Dallas,2024-11-28 18:29:47,2024-11-28 18:29:47
8,St. Louis,St. Louis,2024-11-28 18:29:47,2024-11-28 18:29:47
9,Chicago,Chicago,2024-11-28 18:29:47,2024-11-28 18:29:47
10,Richmond,Richmond,2024-11-28 18:29:47,2024-11-28 18:29:47
11,Philadelphia,Philadelphia,2024-11-28 18:29:47,2024-11-28 18:29:47
12,St. Louis,St. Louis,2024-11-28 18:29:47,2024-11-28 18:29:47
13,Cleveland,Cleveland,2024-11-28 18:29:47,2024-11-28 18:29:47
14,New York,New York,2024-11-28 18:29:47,2024-11-28 18:29:47
15,San Francisco,San Francisco,2024-11-28 18:29:47,2024-11-28 18:29:47
16,Atlanta,Atlanta,2024-11-28 18:29:47,2024-11-28 18:29:47
17,Kansas City,Kansas City,2024-11-28 18:29:47,2024-11-28 18:29:47